FR-CRC	DE-CRC	CN-CRC	US-CRC	AT-CRC	all
K00001	0.0321399281214745	0.067601165881067	0.0789376496888072	0.000856697589245173	-0.0228931831663922	0.0313284516228404
K00002	-0.0434009353777667	0.0209826131290449	0.0814894731099879	-0.0232428248464275	-0.0749906362714972	-0.00783246205133172
K00003	-0.0869728230127332	-0.0636589280136609	0.0576108889608464	-0.0415112263364337	-0.124663378576442	-0.0518390933956847
K00004	0.104405927523476	-0.00857993723329814	0.209753652865237	-0.062211135792442	-0.0339837190782013	0.0418769576569544
K00005	-0.0710317843527968	-0.00784953004809353	0.0538509975627486	-0.00709674887343728	-0.0622526502498913	-0.0188759431922941
K00006	-0.150120158222746	-0.173849471657347	0	0	0	-0.0647939259760187
K00007	-0.00489102885723145	-0.0312666880831998	-0.0538002500979078	-0.0824635825348431	0.139224561986859	-0.00663939751726466
K00008	-0.037632319629062	-0.0061175839785435	0.0839361738999215	0.0413700493308187	-0.0994390602175946	-0.00357654811889198
K00009	-0.0322637567902964	-0.0749539856401235	0.0781177862836222	-0.0506192247739318	-0.0835459637782087	-0.0326530289397876
K00010	0.0961832684331932	0.0271580837848271	0.109985204859874	0.00594638982592913	-0.0341623333709515	0.0410221227065743
K00011	-0.047802751099908	-0.0346068856124665	0.0400548258535752	0.0574277739479607	-0.0973118190846604	-0.0164477711990998
K00012	0.00882270988349519	0.0147511903887525	0.0192672662846788	0.0230477965345672	0.0681325539194389	0.0268043034021865
K00013	-0.0371148237911403	-0.072579963701745	0.0165012655314124	-0.00812216964340437	-0.0558903843131226	-0.0314412151836
K00014	-0.0224489347557599	-0.0483466944915177	0.0278829338709829	0.0014542014223596	-0.0664646647084105	-0.0215846317324691
K00015	0.230030482371987	0.0887530258762649	0.101735937121876	0.0938860875180618	0.239363011748953	0.150753708927428
K00016	-0.161480504240462	-0.0521781614905082	0.0173132501454113	-0.0334555787019525	-0.149304637463116	-0.0758211263501254
K00018	-0.00536479366315516	-0.0480864177370663	0.00555075236201248	-0.0019803833441504	-0.00393021569420199	-0.0107622116153123
K00019	0.0980417847652272	-0.0543775507759106	-0.0410971144331747	-0.0479900563836016	-0.0632501498362064	-0.0217346173327332
K00020	0.0619640026188645	-0.0156777951850857	0.13011764755177	0.0749970584995807	-0.000817860978820985	0.0501166105012617
K00021	0.210229146260232	0.113131393646383	0.00461141207135765	-0.0284031941614426	0.755018825096169	0.21091751658254
K00023	-0.0152238954107897	-0.276346407643586	-0.188223448944155	-0.0538054305060219	0.146001040020685	-0.0775196284967736
K00024	0.162055075830103	0.0511598330459477	0.0966784849424554	0.0739247172335901	0.401472849497078	0.157058192109835
K00025	-0.229023998677522	0.0343672695867908	-0.397426165417259	-0.100099526269298	0.0650888801383614	-0.125418708127785
K00026	0.283130767027827	0.200476085347543	0.0281494561715096	0.38174854458955	0.780786588222881	0.334858288271862
K00027	-0.0598613586155743	-0.0825331302758819	0.0170249570622334	-0.0531293314950331	-0.10248155930427	-0.0561960845257052
K00029	0.162315630522109	0.0281097194998315	0.113002358578949	0.0562943049225066	0.481191527206843	0.168182708146048
K00030	0.0722035773713087	-0.0131522184044908	0.0811850897595527	-0.0513054484451662	-0.040340280079288	0.00971814404038326
K00031	-0.0326273139105148	-0.0332597858149182	0.0228317324450091	-0.00351890467719115	-0.0578060199883609	-0.0208760583891952
K00033	0.0609893785187884	0.0406038787688898	0.0676183982632325	0.0302991249266377	-0.0324145673005224	0.0334192426354052
K00034	0.0917211383091188	0.0254117908236039	-0.0139892024109118	0.0612723117868987	0.0726619852288174	0.0474156047475054
K00036	0.0883004474894057	0.0446145333173951	0.078241869467769	0.0551851190203997	0.060932210324836	0.0654548359239611
K00038	0.201998137940869	-0.0102734339873053	-0.106563242208645	-0.0691514191462515	0.223342367623022	0.047870482044338
K00040	-0.0872691146611728	-0.158615525191548	-0.0111025571154336	-0.0236459077493126	-0.0874469168278749	-0.0736160043090684
K00041	0.00320224417083887	-0.077072636303006	-0.0420644455848856	-0.0037689574905244	-0.0341152900543737	-0.0307638170523902
K00042	0.0256409643287111	0.022607554236856	0.0624796458112946	0.0141226037159972	0.0633165279207585	0.0376334592027235
K00044	-0.0582364108647875	0.320366546374314	0.359666174250259	0.0264631656090613	-0.115500404903716	0.106551814093026
K00045	0.112242256538665	-0.0423824344549024	0.177774238562584	-0.0478656344557802	0.552339953335783	0.15042167590527
K00046	0.0367362598221138	-0.0409266734894428	-0.0158909477285622	0.0229178273121379	-0.00216288176838809	0.000134716829571738
K00048	-0.0787946795386097	-0.0983256975981179	-0.0283014067952987	-0.0267842858222132	-0.0835636271683435	-0.0631539393845166
K00049	-0.140017035992294	-0.0121917224667865	0.150860269738118	-0.127473079494051	-0.160222108308902	-0.0578087353047831
